ticker,mode,median_abs_change,max_abs_change
GS,frozen,1.0565204800139227e-5,0.001482709442768737
GS,surface,2.3802906639502908e-5,0.001538405891125194
GS,relaxation,1.1781621457318536e-5,0.0016716070747264666
GS,uncoupled,1.1127227516477545e-5,0.001596693080358591
GS,coupled,1.137664857470827e-5,0.0013095311650452857
LLY,frozen,1.4263815526049939e-5,0.0012453698507641775
LLY,surface,2.7527713271496834e-5,0.0012647106769989591
LLY,relaxation,1.59081952541551e-5,0.0012476299963246618
LLY,uncoupled,1.6387680144336336e-5,0.0013742181058233882
LLY,coupled,1.6185501602095087e-5,0.0013748653566167945
