ticker,mode,median_abs_change,max_abs_change
GS,frozen,1.2208975630867425e-5,0.001135337053234764
GS,surface,2.4294874339858552e-5,0.00113776731109283
GS,relaxation,1.2815937936061506e-5,0.0011415340139500074
GS,uncoupled,1.8016719626548494e-5,0.0012972608932777518
GS,coupled,1.6941417707305728e-5,0.0013045688741755157
LLY,frozen,1.5458312060678825e-5,0.0012492056835213816
LLY,surface,2.918354469366724e-5,0.001270852630263164
LLY,relaxation,1.6332757383663576e-5,0.001254524775205823
LLY,uncoupled,1.872767452838764e-5,0.00133081854098549
LLY,coupled,1.816073988961109e-5,0.0013662014878050854
