ticker,seed,path,mode,kind,step,date,dte,spot,premium,mark,surface_mark,frozen_mark
GS,20260429,1,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,2,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,3,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,4,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,5,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,6,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,7,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,8,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,9,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,10,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,11,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,12,frozen,put,0,2026-04-28,31,926.38,16.51,17.258588034303084,17.258588034303084,17.258588034303084
GS,20260429,1,frozen,put,5,2026-05-05,24,934.475035252307,16.51,11.76534861195907,12.012328591721912,11.76534861195907
GS,20260429,2,frozen,put,5,2026-05-05,24,951.7184611284,16.51,8.035365507280913,8.497183077346563,8.035365507280913
GS,20260429,3,frozen,put,5,2026-05-05,24,987.5507102491491,16.51,3.327352797539468,4.341246931532696,3.327352797539468
GS,20260429,4,frozen,put,5,2026-05-05,24,857.1610608836885,16.51,46.24042932549838,44.79744342817586,46.24042932549838
GS,20260429,5,frozen,put,5,2026-05-05,24,924.1780848338092,16.51,14.577050168368011,14.696611765629767,14.577050168368011
GS,20260429,6,frozen,put,5,2026-05-05,24,897.3031650555369,16.51,24.3311404933348,23.956824125534766,24.3311404933348
GS,20260429,7,frozen,put,5,2026-05-05,24,921.6919292642573,16.51,15.32808287108515,15.41401946448389,15.32808287108515
GS,20260429,8,frozen,put,5,2026-05-05,24,917.6794742077799,16.51,16.602246653765093,16.630050507487162,16.602246653765093
GS,20260429,9,frozen,put,5,2026-05-05,24,938.9472637339904,16.51,10.68631779884312,10.986561556255792,10.68631779884312
GS,20260429,10,frozen,put,5,2026-05-05,24,963.4319845463712,16.51,6.103325861477809,6.735293533270158,6.103325861477809
GS,20260429,11,frozen,put,5,2026-05-05,24,926.8362224924468,16.51,13.80580778019969,13.959724899897232,13.80580778019969
GS,20260429,12,frozen,put,5,2026-05-05,24,930.790700790774,16.51,12.717566456700112,12.92037495480331,12.717566456700112
GS,20260429,1,frozen,put,10,2026-05-12,17,950.003871187594,16.51,5.370608813793148,5.856242905327324,5.370608813793148
