period,ticker,origin,endpoint,horizon,method,replicate,seed,paths,origin_spot,observed,median_absolute_error,mean_error_pct,median_absolute_error_pct,crps_pct,width_pct,analytic_mean,predicted_mean,predicted_median,predicted_q05,predicted_q95,error,absolute_error,squared_error,crps,covered90,width90,mc_se
2025,GS,2025-01-02,2025-01-03,1,JumpHMM,1,202620091,10000,574.97,580.13,5.034309013860707,-0.8729020319769473,0.8755776847245432,0.5474637944169395,5.179737153007478,NaN,575.1110751867421,575.0956909861393,559.8723230484804,589.6542577571275,-5.018924813257854,5.018924813257854,25.189606281135386,3.1477525787590768,true,29.7819347086471,0.10350209573540353
2025,GS,2025-01-02,2025-01-10,5,JumpHMM,1,202620091,10000,574.97,560.0,16.35877569108652,2.7824627625012024,2.8451529107756093,1.6972523104672892,12.444854007413557,NaN,575.9983261455532,576.3587756910865,539.2537953496004,610.8079724360261,15.998326145553165,15.998326145553165,255.94643945948997,9.758691609493773,true,71.55417708642574,0.22938452444572013
2025,GS,2025-01-02,2025-01-03,1,Unchanged,1,202620091,10000,574.97,580.13,5.159999999999968,-0.8974381272065918,0.8974381272066313,0.8974381272066309,0.0,NaN,574.9700000000003,574.97,574.97,574.97,-5.159999999999741,5.159999999999741,26.625599999997323,5.159999999999966,false,0.0,2.2738504497972655e-15
2025,GS,2025-01-02,2025-01-10,5,Unchanged,1,202620091,10000,574.97,560.0,14.970000000000027,2.6036141016053453,2.603614101605306,2.6036141016053045,0.0,NaN,574.9700000000003,574.97,574.97,574.97,14.970000000000255,14.970000000000255,224.1009000000076,14.97000000000002,false,0.0,2.2738504497972655e-15
2025,GS,2025-01-02,2025-01-03,1,Adaptive volatility,1,202620091,10000,574.97,580.13,5.258313674812825,-0.8894193496521159,0.914537049726564,0.6081363997645237,6.154057968690326,575.0673352547155,575.0161055653052,574.8716863251872,557.5871106910753,592.971097793654,-5.113894434694771,5.113894434694771,26.151916289202152,3.4966018577260822,true,35.38398710257877,0.10683477153870313
2025,GS,2025-01-02,2025-01-10,5,Adaptive volatility,1,202620091,10000,574.97,560.0,14.40496828925211,2.651507753684954,2.5053425899181017,1.5679085330480749,13.792373634012886,575.456841077929,575.2453741313624,574.4049682892521,536.9216413473994,616.2236520308833,15.245374131362382,15.245374131362382,232.42143240521332,9.015003692466516,true,79.3020106834839,0.2396745840080599
2025,GS,2025-01-02,2025-01-03,1,Directional,1,202620091,10000,574.97,580.13,5.258313674812825,-0.8894193496521159,0.914537049726564,0.6081363997645237,6.154057968690326,575.0673352547155,575.0161055653052,574.8716863251872,557.5871106910753,592.971097793654,-5.113894434694771,5.113894434694771,26.151916289202152,3.4966018577260822,true,35.38398710257877,0.10683477153870313
2025,GS,2025-01-02,2025-01-10,5,Directional,1,202620091,10000,574.97,560.0,14.40496828925211,2.651507753684954,2.5053425899181017,1.5679085330480749,13.792373634012886,575.456841077929,575.2453741313624,574.4049682892521,536.9216413473994,616.2236520308833,15.245374131362382,15.245374131362382,232.42143240521332,9.015003692466516,true,79.3020106834839,0.2396745840080599
2025,GS,2025-01-02,2025-01-03,1,JumpHMM,2,202620092,10000,574.97,580.13,4.97975281272079,-0.833299300147381,0.8660891546899472,0.5329999413220067,5.012569720303359,NaN,575.3387790139426,575.1502471872792,560.8342049922134,589.6549771130416,-4.791220986057397,4.791220986057397,22.955798537236813,3.064589762619142,true,28.820772120828224,0.10480493356553638
2025,GS,2025-01-02,2025-01-10,5,JumpHMM,2,202620092,10000,574.97,560.0,16.46895421079944,2.867604865335657,2.8643153922464544,1.7256571445177298,12.55001309951111,NaN,576.4878676942204,576.4689542107994,539.2687422429987,611.4275525612577,16.487867694220427,16.487867694220427,271.8497811021176,9.922010883833591,true,72.15881031825904,0.23852840842376236
2025,GS,2025-01-02,2025-01-03,1,Unchanged,2,202620092,10000,574.97,580.13,5.159999999999968,-0.8974381272065918,0.8974381272066313,0.8974381272066309,0.0,NaN,574.9700000000003,574.97,574.97,574.97,-5.159999999999741,5.159999999999741,26.625599999997323,5.159999999999966,false,0.0,2.2738504497972655e-15
2025,GS,2025-01-02,2025-01-10,5,Unchanged,2,202620092,10000,574.97,560.0,14.970000000000027,2.6036141016053453,2.603614101605306,2.6036141016053045,0.0,NaN,574.9700000000003,574.97,574.97,574.97,14.970000000000255,14.970000000000255,224.1009000000076,14.97000000000002,false,0.0,2.2738504497972655e-15
