ticker,origin,day,horizon,method,mean,median,lo,hi,observed
GS,2026-08-04,2026-08-05,1,legacy_stationary,1053.5263668282448,1053.5031189867038,1027.6684715897345,1079.8703515653542,1060.53
GS,2026-08-04,2026-08-06,2,legacy_stationary,1054.0143767614757,1053.9017350026088,1015.2157089053405,1092.238130572713,1032.09
GS,2026-08-04,2026-08-07,3,legacy_stationary,1054.6796219501068,1054.6942657367126,1004.777282304782,1102.9487348993819,1040.0
GS,2026-08-04,2026-08-10,4,legacy_stationary,1055.3241527015728,1055.349189939101,995.2697898077291,1112.386630103901,1033.87
GS,2026-08-04,2026-08-11,5,legacy_stationary,1055.748033961312,1055.8437432299806,988.2137761417412,1119.5964466334183,1033.87
GS,2026-08-04,2026-08-05,1,stationary_transition,1053.821890030396,1053.5345939707079,1027.6565027109757,1079.819605804289,1060.53
GS,2026-08-04,2026-08-06,2,stationary_transition,1053.767387330217,1053.8782657492848,1015.3160409496038,1092.1095399636044,1032.09
GS,2026-08-04,2026-08-07,3,stationary_transition,1054.3619658152152,1054.6795534770922,1005.3635516596403,1101.1945688700246,1040.0
GS,2026-08-04,2026-08-10,4,stationary_transition,1054.8514986757532,1054.9843811191545,995.98081993949,1111.5599314108354,1033.87
GS,2026-08-04,2026-08-11,5,stationary_transition,1055.392671078995,1055.5572660790838,988.1871752077291,1119.095192493153,1033.87
GS,2026-08-04,2026-08-05,1,filtered_state,1053.8067175295018,1053.6585176293195,1027.7582333631442,1079.8964297461976,1060.53
GS,2026-08-04,2026-08-06,2,filtered_state,1053.7770858036622,1053.860295470794,1015.7262776493565,1091.7304175379463,1032.09
GS,2026-08-04,2026-08-07,3,filtered_state,1054.3044398898844,1054.6237511068784,1005.093294683639,1100.2962686590645,1040.0
GS,2026-08-04,2026-08-10,4,filtered_state,1054.7837440247265,1054.8426670349295,995.8682159051854,1111.548594307003,1033.87
GS,2026-08-04,2026-08-11,5,filtered_state,1055.3123403159855,1055.5397592327927,988.1939959324325,1118.9848561977415,1033.87
GS,2026-08-04,2026-08-05,1,filtered_state_vol20,1054.2549168896333,1053.7464740216656,1007.6885115143274,1101.3324943514588,1060.53
GS,2026-08-04,2026-08-06,2,filtered_state_vol20,1054.095861424573,1053.7760727656637,986.2916284251372,1122.7447328488133,1032.09
GS,2026-08-04,2026-08-07,3,filtered_state_vol20,1054.9542609724622,1054.814189306851,967.522771180546,1138.2534874835585,1040.0
GS,2026-08-04,2026-08-10,4,filtered_state_vol20,1055.731475082781,1054.8742620863127,951.3341329283443,1158.875609956818,1033.87
