ticker,horizon,method,mean_crps_change,median_crps_change,better_dates,n_dates
GS,1,filtered_state,0.4260633777464888,0.15647611252641624,7,21
GS,1,filtered_state_vol20,1.0151053694459664,0.5218425214284395,4,21
GS,1,legacy_stationary,0.0,0.0,0,21
GS,1,rw_fixed,0.17271935058148621,0.6197542232766908,7,21
GS,1,rw_vol20,1.152725823308355,0.8980938381246908,5,21
GS,1,stationary_transition,-0.010911221636332239,0.005075165804007575,10,21
GS,1,unchanged,2.605942268905517,2.2606735568545346,7,21
GS,5,filtered_state,0.2019669139078753,-0.20519145712514408,10,17
GS,5,filtered_state_vol20,2.6228199001474004,2.569088244364284,1,17
GS,5,legacy_stationary,0.0,0.0,0,17
GS,5,rw_fixed,0.6236010472090102,1.312813689996684,4,17
GS,5,rw_vol20,3.765626111640733,2.7371317433802282,2,17
GS,5,stationary_transition,0.004491105758298129,0.03201379832694151,5,17
GS,5,unchanged,2.515413060653092,2.9253519064102225,7,17
LLY,1,filtered_state,-0.09329906170390395,-0.15708411959268176,12,21
LLY,1,filtered_state_vol20,-0.11364267732267981,0.14984136341384158,10,21
LLY,1,legacy_stationary,0.0,0.0,0,21
LLY,1,rw_fixed,-0.27118369165477424,-0.2824173720827492,12,21
LLY,1,rw_vol20,-0.0826899003124513,0.6994510591478917,8,21
LLY,1,stationary_transition,-0.021889262748611624,-0.013082975030138666,14,21
LLY,1,unchanged,4.273651729203855,4.97171401781077,4,21
LLY,5,filtered_state,-0.40773627764137726,-0.21570783290827222,12,17
LLY,5,filtered_state_vol20,-1.454664097944213,-2.2250590134221113,9,17
LLY,5,legacy_stationary,0.0,0.0,0,17
LLY,5,rw_fixed,-1.0070128579176711,-0.576200841332394,11,17
LLY,5,rw_vol20,-1.6911971311227794,-2.2201755373099843,10,17
LLY,5,stationary_transition,-0.07484149515371714,-0.11989925962860326,12,17
LLY,5,unchanged,13.678786531197858,19.094696830259238,2,17
