ticker,training_daily_sd,training_daily_mean,stationary_daily_mean,stationary_daily_sd,between_state_variance,within_state_variance_unscaled,scale_corrected_sd,fallback_states,fallback_probability
GS,0.017628576039057837,0.0004221245221977493,0.0004200807193349616,0.01801776685183044,0.00029039174952684947,2.0908927527581017e-5,0.017643714944830368,0,0.0
LLY,0.016947007893412247,0.0009816341478001147,0.0009785260275057839,0.017348562725929495,0.0002666751914464124,2.0939004050613615e-5,0.016959192064984287,0,0.0
