ticker,origin,horizon,total_variation,stationary_daily_mean,filtered_daily_mean
GS,2026-08-04,1,0.006116184464507952,0.0003433833578813431,0.00032541715619352853
GS,2026-08-04,2,0.0011269065934973203,0.0003432791275975089,0.0003427428244566226
GS,2026-08-04,3,0.0003468094834982143,0.00034317490773670234,0.0003422255948140082
GS,2026-08-04,4,0.00028533513808363475,0.0003430706982978822,0.0003428379365874991
GS,2026-08-04,5,0.0002853066045697982,0.0003429664992800085,0.0003426656614010338
GS,2026-08-05,1,0.32512889920794313,0.0003433833578813431,1.610343078590916e-5
GS,2026-08-05,2,0.05836712493807526,0.0003432791275975089,0.0008055697130588829
GS,2026-08-05,3,0.010187457292161658,0.00034317490773670234,0.000365892375614471
GS,2026-08-05,4,0.0018879392356769837,0.0003430706982978822,0.00034186991326073403
GS,2026-08-05,5,0.0004192663491918061,0.0003429664992800085,0.00034425840445747626
GS,2026-08-06,1,0.4102007022821752,0.0003433833578813431,0.001165685220133873
GS,2026-08-06,2,0.08046800023483634,0.0003432791275975089,0.00024090062463987157
GS,2026-08-06,3,0.027258563945795712,0.00034317490773670234,0.00032835268134787446
GS,2026-08-06,4,0.01688041784238408,0.0003430706982978822,0.0003256549278755328
GS,2026-08-06,5,0.01571577981282143,0.0003429664992800085,0.00032615639339346296
GS,2026-08-07,1,0.27349023312489623,0.0003433833578813431,0.00019187765134878526
GS,2026-08-07,2,0.049855850780942165,0.0003432791275975089,0.000517723785645421
GS,2026-08-07,3,0.007866635363989164,0.00034317490773670234,0.0003639412278604959
GS,2026-08-07,4,0.001513487282046689,0.0003430706982978822,0.0003465495208599893
GS,2026-08-07,5,0.0003886405243500263,0.0003429664992800085,0.00034287380346055617
GS,2026-08-10,1,0.27318232625831357,0.0003433833578813431,0.0014937357212855907
GS,2026-08-10,2,0.036993615157733244,0.0003432791275975089,0.0006238947205213987
GS,2026-08-10,3,0.0064406879767296655,0.00034317490773670234,0.0003372722729152633
GS,2026-08-10,4,0.0012458791326263455,0.0003430706982978822,0.0003438651003005984
GS,2026-08-10,5,0.0002832367230854212,0.0003429664992800085,0.00034244067476022324
GS,2026-08-11,1,0.46082403211880074,0.0003433833578813431,0.0012012303953695216
GS,2026-08-11,2,0.06927734332244573,0.0003432791275975089,0.00015129514320706824
GS,2026-08-11,3,0.009405906899491301,0.00034317490773670234,0.0003842475607773203
GS,2026-08-11,4,0.001462240470919056,0.0003430706982978822,0.00034260223907808915
GS,2026-08-11,5,0.00024901041456632113,0.0003429664992800085,0.0003434117177240814
GS,2026-08-12,1,0.34944384047573024,0.0003433833578813431,-0.002063388369660232
GS,2026-08-12,2,0.04590756698563158,0.0003432791275975089,0.0001511912282738323
GS,2026-08-12,3,0.0062130330139997985,0.00034317490773670234,0.00037349391284239013
GS,2026-08-12,4,0.0010685019039130919,0.0003430706982978822,0.00034265010168219945
GS,2026-08-12,5,0.00016843129566114807,0.0003429664992800085,0.000342464992800922
GS,2026-08-13,1,0.2093680475035352,0.0003433833578813431,0.001135893208623282
GS,2026-08-13,2,0.03311181344081053,0.0003432791275975089,0.0002571496581425779
GS,2026-08-13,3,0.004465286049582624,0.00034317490773670234,0.00036661683021842477
GS,2026-08-13,4,0.0007222124265134238,0.0003430706982978822,0.0003381117915756584
GS,2026-08-13,5,0.00014073050685462358,0.0003429664992800085,0.000343196611280871
GS,2026-08-14,1,0.3897362044054986,0.0003433833578813431,0.002560129995727964
GS,2026-08-14,2,0.05407535443341267,0.0003432791275975089,0.0001589414550615157
GS,2026-08-14,3,0.008083779605729872,0.00034317490773670234,0.00033382857836982424
GS,2026-08-14,4,0.0011175071211010335,0.0003430706982978822,0.0003491472770171238
GS,2026-08-14,5,0.0001554205596848255,0.0003429664992800085,0.000343460276519659
GS,2026-08-17,1,0.2804644478757063,0.0003433833578813431,0.0021768842430123364
GS,2026-08-17,2,0.039311838408990676,0.0003432791275975089,0.0002832080754029318
GS,2026-08-17,3,0.004411810713433201,0.00034317490773670234,0.0003347913715675587
GS,2026-08-17,4,0.0006135238452686992,0.0003430706982978822,0.00034133143043131
GS,2026-08-17,5,0.0001007495638379905,0.0003429664992800085,0.00034320883892295195
GS,2026-08-18,1,0.3390895596984886,0.0003433833578813431,0.0006706152958055084
GS,2026-08-18,2,0.04044008399732126,0.0003432791275975089,0.0002656652526292543
GS,2026-08-18,3,0.006335143226862677,0.00034317490773670234,0.00035007598332310484
GS,2026-08-18,4,0.0011643962534795991,0.0003430706982978822,0.00033864866643018316
GS,2026-08-18,5,0.00025964339727172777,0.0003429664992800085,0.00034396242660192844
GS,2026-08-19,1,0.3559612811505115,0.0003433833578813431,-0.004734630782698599
GS,2026-08-19,2,0.053160726896658426,0.0003432791275975089,0.0002971506108044146
GS,2026-08-19,3,0.007243690651956635,0.00034317490773670234,0.00028833906219624217
GS,2026-08-19,4,0.0010386316262062441,0.0003430706982978822,0.00034173891097872893
GS,2026-08-19,5,0.00018021126345555343,0.0003429664992800085,0.00034205094490206457
GS,2026-08-21,1,0.007353535635688113,0.0003433833578813431,0.00028833906219624217
GS,2026-08-21,2,0.0011467332909734455,0.0003432791275975089,0.00034173891097872893
GS,2026-08-21,3,0.0002980033968792462,0.00034317490773670234,0.00034205094490206457
GS,2026-08-21,4,0.00020574129909893527,0.0003430706982978822,0.0003427563742423867
GS,2026-08-21,5,0.00020572072496899353,0.0003429664992800085,0.0003427222187100808
GS,2026-08-24,1,0.34600303527941906,0.0003433833578813431,0.0023840035498071694
GS,2026-08-24,2,0.04491867119130763,0.0003432791275975089,0.00019159247379794248
GS,2026-08-24,3,0.007172620751233707,0.00034317490773670234,0.000336383017239374
GS,2026-08-24,4,0.001152064906628919,0.0003430706982978822,0.00034842064200784955
GS,2026-08-24,5,0.00019284550098820714,0.0003429664992800085,0.0003433112589077852
GS,2026-08-25,1,0.42100964481946535,0.0003433833578813431,0.004974932325415137
GS,2026-08-25,2,0.052923576401885664,0.0003432791275975089,0.0004355428473515829
GS,2026-08-25,3,0.008432197198696867,0.00034317490773670234,0.0003828394463013603
GS,2026-08-25,4,0.0016759288575564368,0.0003430706982978822,0.00034309126589116674
GS,2026-08-25,5,0.0005419317802428049,0.0003429664992800085,0.00034375701382741413
GS,2026-08-26,1,0.2586561443609754,0.0003433833578813431,-0.0008542809272391988
GS,2026-08-26,2,0.032107786727007225,0.0003432791275975089,0.0005143162587545907
GS,2026-08-26,3,0.0052567333883410654,0.00034317490773670234,0.0003199520654159655
GS,2026-08-26,4,0.0008440540719883551,0.0003430706982978822,0.000347758264664072
GS,2026-08-26,5,0.00020649907256508663,0.0003429664992800085,0.0003428274596642372
GS,2026-08-27,1,0.3542738538926956,0.0003433833578813431,-0.0038015037218410703
GS,2026-08-27,2,0.04575970896532954,0.0003432791275975089,0.0007342972395290204
GS,2026-08-27,3,0.006100724082724574,0.00034317490773670234,0.00032132338172637196
GS,2026-08-27,4,0.0008795934703111929,0.0003430706982978822,0.00034936085202948814
GS,2026-08-27,5,0.00013089822693438443,0.0003429664992800085,0.000342206935320797
GS,2026-08-28,1,0.27611898541440794,0.0003433833578813431,9.13219500804098e-5
GS,2026-08-28,2,0.03665841749198101,0.0003432791275975089,0.000525681953130196
GS,2026-08-28,3,0.006510671411350219,0.00034317490773670234,0.00037456154758207195
GS,2026-08-28,4,0.0010962615582555118,0.0003430706982978822,0.0003419139455148575
GS,2026-08-28,5,0.00027106944931100916,0.0003429664992800085,0.0003440868041291183
GS,2026-08-31,1,0.30554081919944553,0.0003433833578813431,4.823866113110904e-5
GS,2026-08-31,2,0.04013683798877778,0.0003432791275975089,0.0005264964825980574
GS,2026-08-31,3,0.006893294400448412,0.00034317490773670234,0.0003789953479541677
GS,2026-08-31,4,0.0011378827258963608,0.0003430706982978822,0.00034186265056470374
GS,2026-08-31,5,0.0002795413825534521,0.0003429664992800085,0.0003442381563716775
GS,2026-09-01,1,0.3127006771387086,0.0003433833578813431,0.0005779442371026591
GS,2026-09-01,2,0.060951793863173793,0.0003432791275975089,7.892768243416312e-5
GS,2026-09-01,3,0.019296872761575212,0.00034317490773670234,0.00033975212392108956
GS,2026-09-01,4,0.011836103940284481,0.0003430706982978822,0.0003293639017278229
GS,2026-09-01,5,0.01110267911227969,0.0003429664992800085,0.00033090739880925826
GS,2026-09-02,1,0.23839011964455528,0.0003433833578813431,6.926023760359546e-6
GS,2026-09-02,2,0.03277483353448353,0.0003432791275975089,0.00020734612861410978
GS,2026-09-02,3,0.0077913721385094925,0.00034317490773670234,0.0003552759395674121
GS,2026-09-02,4,0.005210268137878874,0.0003430706982978822,0.0003388209353642022
GS,2026-09-02,5,0.005209747111065057,0.0003429664992800085,0.00033842345075196117
