name,n_residuals,rmse
overall,234549,0.09048978016849499
ETF,102738,0.08095692474754591
Energy,7832,0.08108630157179746
Retail,11320,0.08360090420404324
Healthcare,26387,0.09312058912269303
Financials,17938,0.07194059562061197
Tech,68334,0.10785921813606648
