tau_z,tpr,fpr,precision
0.0,0.7410714285714286,0.11884057971014493,0.6693548387096774
0.25,0.7232142857142857,0.11304347826086956,0.675
0.5,0.7053571428571429,0.10434782608695652,0.6869565217391305
0.75,0.6964285714285714,0.10144927536231885,0.6902654867256637
1.0,0.6875,0.10144927536231885,0.6875
1.25,0.6785714285714286,0.09855072463768116,0.6909090909090909
1.5,0.6696428571428571,0.09565217391304348,0.6944444444444444
1.75,0.6517857142857143,0.09565217391304348,0.6886792452830188
2.0,0.6517857142857143,0.0927536231884058,0.6952380952380952
2.25,0.6428571428571429,0.08695652173913043,0.7058823529411765
2.5,0.6160714285714286,0.08405797101449275,0.7040816326530612
2.75,0.5892857142857143,0.0782608695652174,0.7096774193548387
3.0,0.5446428571428571,0.0782608695652174,0.6931818181818182
3.25,0.49107142857142855,0.07246376811594203,0.6875
3.5,0.4732142857142857,0.06956521739130435,0.6883116883116883
3.75,0.45535714285714285,0.06666666666666667,0.6891891891891891
4.0,0.44642857142857145,0.06376811594202898,0.6944444444444444
4.25,0.39285714285714285,0.0463768115942029,0.7333333333333333
4.5,0.375,0.043478260869565216,0.7368421052631579
4.75,0.3482142857142857,0.043478260869565216,0.7222222222222222
5.0,0.3482142857142857,0.04057971014492753,0.7358490566037735
5.25,0.33035714285714285,0.04057971014492753,0.7254901960784313
5.5,0.33035714285714285,0.04057971014492753,0.7254901960784313
5.75,0.3125,0.034782608695652174,0.7446808510638298
6.0,0.3125,0.034782608695652174,0.7446808510638298
