k,config,n_inputs,n_train_days,n_train_obs,test_date,n_test_obs,train_rmse,test_rmse,gen_gap,has_earnings_in_test_window
5,sector_2in,2,5,88346,2026-04-22,15551,0.07606336348526198,0.10473079283161948,0.028667429346357506,true
6,sector_2in,2,6,103897,2026-04-23,11482,0.0804693142477877,0.17453796395537374,0.09406864970758605,true
7,sector_2in,2,7,115379,2026-04-24,15351,0.09338039341123239,0.07792251291868878,-0.01545788049254361,true
8,sector_2in,2,8,130730,2026-04-27,11379,0.0916050910174938,0.1256717097383586,0.03406661872086479,true
9,sector_2in,2,9,142109,2026-04-28,16776,0.09418879856053734,0.12863130395543954,0.03444250539490219,true
10,sector_2in,2,10,158885,2026-04-29,16811,0.09781611127821621,0.13120127759086136,0.033385166312645154,true
11,sector_2in,2,11,175696,2026-05-01,14825,0.10105236111638247,0.10079322731102625,-0.0002591338053562209,true
12,sector_2in,2,12,190521,2026-05-06,17293,0.10097461521026092,0.11276601288012938,0.011791397669868461,true
13,sector_2in,2,13,207814,2026-05-08,12293,0.10180171011451758,0.10820162800290478,0.006399917888387202,true
14,sector_2in,2,14,220107,2026-05-11,14442,0.102085882417758,0.10888311800424745,0.006797235586489453,false
15,sector_2in,2,15,234549,2026-05-12,17172,0.10238410642961147,0.11302509664560788,0.010640990215996404,false
16,sector_2in,2,16,251721,2026-05-13,17491,0.10301166475536813,0.09567612968754237,-0.007335535067825763,false
17,sector_2in,2,17,269212,2026-05-14,17665,0.10247867172337323,0.09787486682349877,-0.004603804899874456,false
18,sector_2in,2,18,286877,2026-05-15,17874,0.10212767858651459,0.09617683933061405,-0.005950839255900536,false
19,sector_2in,2,19,304751,2026-05-18,15841,0.1017775383298174,0.09096319870187104,-0.010814339627946354,true
20,sector_2in,2,20,320592,2026-05-19,18696,0.10124146975662833,0.09242259584956189,-0.00881887390706644,true
21,sector_2in,2,21,339288,2026-05-20,18042,0.10074287551932341,0.09613435691509778,-0.004608518604225634,true
22,sector_2in,2,22,357330,2026-05-21,18438,0.10048419937421016,0.08650312228100715,-0.01398107709320301,true
23,sector_2in,2,23,375768,2026-05-22,14393,0.09978586611083361,0.0868991274500754,-0.012886738660758207,true
24,sector_2in,2,24,390161,2026-05-26,15498,0.0993312797744859,0.09743234377839,-0.0018989359960959046,false
25,sector_2in,2,25,405659,2026-05-27,14753,0.09921738897167645,0.10062190340245569,0.0014045144307792412,false
26,sector_2in,2,26,420412,2026-05-28,16884,0.09922010390806207,0.09130332061546986,-0.007916783292592211,false
27,sector_2in,2,27,437296,2026-05-29,18180,0.09888172195493955,0.09446441993340987,-0.004417302021529679,false
28,sector_2in,2,28,455476,2026-06-01,20426,0.09869445086811864,0.09958377132656973,0.0008893204584510955,true
29,sector_2in,2,29,475902,2026-06-02,19466,0.09869987033465297,0.10085592194733306,0.0021560516126800933,true
30,sector_2in,2,30,495368,2026-06-03,19752,0.09875238354659703,0.14517499980054735,0.04642261625395032,true
31,sector_2in,2,31,515120,2026-06-04,18105,0.10089016612428191,0.09456226517125069,-0.006327900953031221,true
32,sector_2in,2,32,533225,2026-06-10,16138,0.10065984676202923,0.15313911260245017,0.05247926584042094,false
33,sector_2in,2,33,549363,2026-06-11,17631,0.10256379849884886,0.1029609552604524,0.00039715676160353985,false
34,sector_2in,2,34,566994,2026-06-12,16248,0.10255646067097834,0.0892651627063364,-0.013291297964641943,false
35,sector_2in,2,35,583242,2026-06-15,18294,0.1021990493471225,0.09052310549746403,-0.011675943849658463,false
36,sector_2in,2,36,601536,2026-06-16,18174,0.10184776315797346,0.09467505852874633,-0.007172704629227131,false
37,sector_2in,2,37,619710,2026-06-17,17978,0.10163410327702467,0.11053327976553373,0.008899176488509061,false
38,sector_2in,2,38,637688,2026-06-18,17054,0.10185284113622878,0.08551112377802632,-0.01634171735820246,false
39,sector_2in,2,39,654742,2026-06-22,16088,0.10144657596278615,0.11113542719075287,0.009688851227966713,true
40,sector_2in,2,40,670830,2026-06-23,18614,0.1016589803666038,0.11147395065711763,0.009814970290513828,true
41,sector_2in,2,41,689444,2026-06-24,14430,0.10190734087371493,0.19252983829062512,0.09062249741691018,true
42,sector_2in,2,42,703874,2026-06-25,17428,0.10451534608452925,0.10211715589263241,-0.00239819019189684,true
43,sector_2in,2,43,721302,2026-06-26,14990,0.10443403170520717,0.0891284313091784,-0.015305600396028768,true
44,sector_2in,2,44,736292,2026-06-29,14252,0.10414251057311014,0.08854302353474217,-0.01559948703836797,false
45,sector_2in,2,45,750544,2026-06-30,16643,0.10386702406213001,0.08871920110742748,-0.01514782295470253,false
46,sector_2in,2,46,767187,2026-07-01,15722,0.10355411710204415,0.09273351504723333,-0.010820602054810821,false
47,sector_2in,2,47,782909,2026-07-02,16859,0.10334225503689284,0.07678224851012312,-0.026560006526769722,false
48,sector_2in,2,48,799768,2026-07-06,14274,0.10286002307099686,0.08357375909093695,-0.019286263980059906,false
49,sector_2in,2,49,814042,2026-07-07,17773,0.10254747597731854,0.090246081723252,-0.012301394254066539,false
50,sector_2in,2,50,831815,2026-07-08,17661,0.10229478417892593,0.10513630794069735,0.0028415237617714223,false
51,sector_2in,2,51,849476,2026-07-09,18429,0.10234732519937985,0.10016482820586564,-0.0021824969935142075,false
52,sector_2in,2,52,867905,2026-07-10,17324,0.10229412931669095,0.10054412610987319,-0.0017500032068177573,false
53,sector_2in,2,53,885229,2026-07-13,16728,0.10225295363024653,0.09924475445301453,-0.003008199177231996,true
54,sector_2in,2,54,901957,2026-07-14,20773,0.1021971434006583,0.09511403237605606,-0.00708311102460224,true
55,sector_2in,2,55,922730,2026-07-15,21286,0.1020400229196249,0.09597645695101306,-0.0060635659686118365,true
56,sector_2in,2,56,944016,2026-07-16,20272,0.10190704936720174,0.09994630025920276,-0.0019607491079989825,true
57,sector_2in,2,57,964288,2026-07-17,22204,0.10187051093112287,0.1013998131479496,-0.0004706977831732684,true
