variant,n_trainable,rmse_28_pct,iv_put_pct,iv_call_pct,fv_put,fv_call,edge_put,edge_call
base,0,15.658470462330776,43.541634,41.18243,21.95451861939986,18.9561896644984,-1.345481380600141,-1.803810335501602
V0 level-only,1,11.775415965860297,51.935875,49.121845,29.45333504903828,26.200241526332242,6.153335049038279,5.44024152633224
V1 LoRA-r2 + level,135,4.335284031075067,43.76281,43.708523,22.148659790941533,21.221779943276314,-1.1513402090584677,0.4617799432763121
