ticker,date,sector,cell_kind,base_rmse,v1_rmse,S_0,base_bfly_viol,base_bfly_total,base_bfly_frac,adapted_bfly_viol,adapted_bfly_total,adapted_bfly_frac,base_cal_viol,base_cal_total,base_cal_frac,adapted_cal_viol,adapted_cal_total,adapted_cal_frac
INTC,options-04-23-2026,Tech,worst,0.6857806675705794,0.05974438951793791,66.78,36,360,0.1,102,360,0.2833333333333333,0,380,0.0,12,380,0.031578947368421054
AMD,options-04-23-2026,Tech,worst,0.5556727531381642,0.410597486747463,305.35,32,360,0.08888888888888889,105,360,0.2916666666666667,0,380,0.0,39,380,0.10263157894736842
QCOM,options-04-23-2026,Tech,worst,0.5397392281948826,0.33583072158051247,133.98,34,360,0.09444444444444444,106,360,0.29444444444444445,0,380,0.0,8,380,0.021052631578947368
AAPL,options-04-29-2026,Tech,worst,0.4089919260366201,0.3057662088501934,270.78,35,360,0.09722222222222222,71,360,0.19722222222222222,8,380,0.021052631578947368,0,380,0.0
QCOM,options-05-11-2026,Tech,worst,0.3276283323045049,0.06075379438887656,237.56,34,360,0.09444444444444444,48,360,0.13333333333333333,0,380,0.0,0,380,0.0
META,options-05-06-2026,Tech,middle,0.11958573606417323,0.05783735820595512,612.615,22,360,0.06111111111111111,18,360,0.05,0,380,0.0,0,380,0.0
AAPL,options-04-23-2026,Tech,middle,0.10973560581565436,0.090808928225475,273.49,35,360,0.09722222222222222,45,360,0.125,8,380,0.021052631578947368,0,380,0.0
ABBV,options-04-27-2026,Healthcare,middle,0.10100295131002876,0.052355094864215655,197.37,22,360,0.06111111111111111,44,360,0.12222222222222222,0,380,0.0,0,380,0.0
IWM,options-04-21-2026,ETF,middle,0.09531961989760368,0.0710329887655946,274.515,56,360,0.15555555555555556,39,360,0.10833333333333334,14,380,0.03684210526315789,22,380,0.05789473684210526
MSFT,options-05-01-2026,Tech,middle,0.08980771123928043,0.053332638088878816,414.46,14,360,0.03888888888888889,0,360,0.0,0,380,0.0,0,380,0.0
LLY,options-04-22-2026,Healthcare,middle,0.08543205965510249,0.04590444211809894,921.385,29,360,0.08055555555555556,30,360,0.08333333333333333,0,380,0.0,0,380,0.0
XOM,options-04-29-2026,Energy,middle,0.07974700346899172,0.05853355008523474,150.55,19,360,0.05277777777777778,38,360,0.10555555555555556,0,380,0.0,0,380,0.0
WFC,options-04-27-2026,Financials,middle,0.07499145793013032,0.057203851445060204,80.59,45,360,0.125,33,360,0.09166666666666666,17,380,0.04473684210526316,18,380,0.04736842105263158
SPY,options-04-21-2026,ETF,middle,0.0714022584991074,0.056079826377226576,703.91,63,360,0.175,35,360,0.09722222222222222,29,380,0.07631578947368421,30,380,0.07894736842105263
JNJ,options-05-11-2026,Healthcare,middle,0.06781342437226015,0.04404771160595437,221.4,48,360,0.13333333333333333,67,360,0.18611111111111112,1,380,0.002631578947368421,0,380,0.0
GS,options-04-22-2026,Financials,best,0.04127298431414493,0.03151828167096881,934.765,36,360,0.1,28,360,0.07777777777777778,0,380,0.0,13,380,0.034210526315789476
GS,options-04-23-2026,Financials,best,0.03786475066120573,0.03083506851268493,931.37,36,360,0.1,27,360,0.075,0,380,0.0,9,380,0.02368421052631579
GS,options-04-16-2026,Financials,best,0.03701550559106169,0.03220522414331348,899.52,36,360,0.1,19,360,0.05277777777777778,0,380,0.0,12,380,0.031578947368421054
GS,options-04-17-2026,Financials,best,0.03571727991354251,0.029497080486506823,925.82,36,360,0.1,43,360,0.11944444444444445,0,380,0.0,8,380,0.021052631578947368
GS,options-04-24-2026,Financials,best,0.03412086504598187,0.027305125524352918,927.79,36,360,0.1,19,360,0.05277777777777778,0,380,0.0,5,380,0.013157894736842105
