k,n_train_days,n_train_obs,test_date,n_test_obs,train_rmse,test_rmse,gen_gap,has_earnings_in_test_window
5,5,88346,2026-04-22,15551,0.07606336348526198,0.10473079283161948,0.028667429346357506,true
6,6,103897,2026-04-23,11482,0.0804693142477877,0.17453796395537374,0.09406864970758605,true
7,7,115379,2026-04-24,15351,0.09338039341123239,0.07792251291868878,-0.01545788049254361,true
8,8,130730,2026-04-27,11379,0.0916050910174938,0.1256717097383586,0.03406661872086479,true
9,9,142109,2026-04-28,16776,0.09418879856053734,0.12863130395543954,0.03444250539490219,true
10,10,158885,2026-04-29,16811,0.09781611127821621,0.13120127759086136,0.033385166312645154,true
11,11,175696,2026-05-01,14825,0.10105236111638247,0.10079322731102625,-0.0002591338053562209,true
12,12,190521,2026-05-06,17293,0.10097461521026092,0.11276601288012938,0.011791397669868461,true
13,13,207814,2026-05-08,12293,0.10180171011451758,0.10820162800290478,0.006399917888387202,true
14,14,220107,2026-05-11,14442,0.102085882417758,0.10888311800424745,0.006797235586489453,false
