ticker,date,sector,psi_source,n_obs,cell_kind,base_rmse,v0_rmse,v1_rmse,v0_improvement,v1_improvement,v0_delta_log_theta,v1_delta_log_theta,v1_norm_B1A1,v1_norm_B2A2,v1_norm_B3A3
INTC,options-04-23-2026,Tech,per_ticker,50,worst,0.6857806675705794,0.17074788594539725,0.05974438951793791,0.5150327816251822,0.6260362780526415,1.2099575996398926,0.299266517162323,0.7037204,2.0244315,0.68384176
AMD,options-04-23-2026,Tech,per_ticker,163,worst,0.5556727531381642,0.46835019445771897,0.410597486747463,0.08732255868044525,0.14507526639070123,0.7054345607757568,0.11140412092208862,2.677477,2.5378733,0.64646333
QCOM,options-04-23-2026,Tech,per_ticker,162,worst,0.5397392281948826,0.3980663285283428,0.33583072158051247,0.14167289966653984,0.20390850661437016,0.9503019452095032,0.12680292129516602,1.4011712,1.6364095,0.42245743
AAPL,options-04-29-2026,Tech,per_ticker,383,worst,0.4089919260366201,0.3530323187298273,0.3057662088501934,0.05595960730679278,0.1032257171864267,0.7743998169898987,0.04601490497589111,1.3508658,1.6161486,0.9544952
QCOM,options-05-11-2026,Tech,per_ticker,198,worst,0.3276283323045049,0.12478968898027885,0.06075379438887656,0.20283864332422602,0.2668745379156283,0.7784444093704224,0.1420409083366394,0.80181307,1.1886396,0.36120805
META,options-05-06-2026,Tech,per_ticker,1143,middle,0.11958573606417323,0.07543950375009072,0.05783735820595512,0.04414623231408252,0.061748377858218115,-0.42129194736480713,-0.06250929832458496,0.7794169,0.6900121,0.24348593
AAPL,options-04-23-2026,Tech,per_ticker,356,middle,0.10973560581565436,0.10443844862956728,0.090808928225475,0.005297157186087087,0.018926677590179367,0.16109073162078857,-0.046889424324035645,0.5946508,1.7263811,0.2823135
ABBV,options-04-27-2026,Healthcare,per_ticker,128,middle,0.10100295131002876,0.08780714867422382,0.052355094864215655,0.013195802635804943,0.048647856445813105,0.19951093196868896,0.09092378616333008,0.6997004,0.7103093,0.46471253
IWM,options-04-21-2026,ETF,per_ticker,1490,middle,0.09531961989760368,0.08364600786730465,0.0710329887655946,0.011673612030299027,0.024286631132009073,0.27064788341522217,0.0465540885925293,0.5297558,0.9860849,0.11814611
MSFT,options-05-01-2026,Tech,per_ticker,624,middle,0.08980771123928043,0.0647605844238047,0.053332638088878816,0.02504712681547573,0.03647507315040161,-0.26779282093048096,-0.0611039400100708,0.66386175,0.6190899,0.23625746
LLY,options-04-22-2026,Healthcare,per_ticker,598,middle,0.08543205965510249,0.08163931392660326,0.04590444211809894,0.0037927457284992333,0.039527617537003554,0.0972214937210083,0.026654601097106934,0.67162925,1.4003786,0.65154666
XOM,options-04-29-2026,Energy,per_ticker,188,middle,0.07974700346899172,0.07264674139292088,0.05853355008523474,0.00710026207607084,0.021213453383756978,0.14310824871063232,0.1771484613418579,0.45679352,0.92367214,0.6661573
WFC,options-04-27-2026,Financials,per_ticker,144,middle,0.07499145793013032,0.07439229432306912,0.057203851445060204,0.0005991636070611928,0.017787606485070113,-0.04504823684692383,-0.03246963024139404,0.7471825,1.5700508,0.28836122
SPY,options-04-21-2026,ETF,per_ticker,2701,middle,0.0714022584991074,0.06892437378129612,0.056079826377226576,0.0024778847178112823,0.015322432121880829,0.1259143352508545,0.0768120288848877,0.6455386,2.2001855,0.13784346
JNJ,options-05-11-2026,Healthcare,per_ticker,128,middle,0.06781342437226015,0.0600366410870682,0.04404771160595437,0.007776783285191949,0.023765712766305777,-0.17098665237426758,0.01419365406036377,0.2967729,1.3835946,0.29489285
GS,options-04-22-2026,Financials,per_ticker,583,best,0.04127298431414493,0.04012661951032979,0.03151828167096881,0.0011463648038151433,0.00975470264317612,-0.05090367794036865,-0.0072335004806518555,1.0970947,2.1493208,0.7447742
GS,options-04-23-2026,Financials,per_ticker,447,best,0.03786475066120573,0.03658879652277549,0.03083506851268493,0.0012759541384302422,0.007029682148520802,0.053523898124694824,0.04148721694946289,0.4716486,1.0577089,0.5484153
GS,options-04-16-2026,Financials,per_ticker,806,best,0.03701550559106169,0.03700548072791649,0.03220522414331348,1.0024863145198515e-5,0.004810281447748213,0.004758596420288086,0.07082688808441162,0.6058657,2.7021856,1.5125784
GS,options-04-17-2026,Financials,per_ticker,696,best,0.03571727991354251,0.033635198914770556,0.029497080486506823,0.002082080998771954,0.006220199427035687,-0.06984412670135498,0.019309401512145996,1.0760503,1.3455667,0.29484007
GS,options-04-24-2026,Financials,per_ticker,517,best,0.03412086504598187,0.03404788239724058,0.027305125524352918,7.298264874128907e-5,0.006815739521628953,-0.012719392776489258,0.04923832416534424,0.8200925,1.1127158,0.7939319
