ticker,S_0,K_put,K_call,market_mid_put,market_mid_call,model_fv_put,model_fv_call,entry_edge_put,entry_edge_call,median_pnl_put,median_pnl_call,mean_pnl_put,mean_pnl_call,mean_se_put,mean_se_call,q05_pnl_put,q05_pnl_call,es05_pnl_put,es05_pnl_call,worst_loss_put,worst_loss_call,pct_premium_kept_put,pct_premium_kept_call,pct_premium_kept_ci_put,pct_premium_kept_ci_call,sector,psi_source,earnings_window
SPY,711.68,696.0,729.0,6.96,5.28,6.886322559397585,6.2186887280147,-0.07367744060241499,0.9386887280147,6.96,5.28,0.8781555865378616,-3.465256071046906,0.48877689508249705,0.527855014109898,-30.048207776805338,-41.084333757294736,-51.00548555528826,-58.24071043941874,-201.6902150695062,-106.7665864842347,74.1,62.5,"(71.29617374007886, 76.71937650091739)","(59.45696046115923, 65.44737057670189)",ETF,per_ticker,false
XOM,150.55,145.0,160.0,3.29,2.2,2.8255954701918884,2.51712354011707,-0.46440452980811164,0.3171235401170698,3.29,2.2,1.397627484998659,0.3489756169756885,0.13860039219428014,0.14913937212161918,-8.256852852460764,-10.03045080875814,-13.623270838162748,-16.749184002816108,-29.02635243361268,-31.606828353129902,71.8,75.0,"(68.93175585138385, 74.50139747864594)","(72.2239719740914, 77.58469010163085)",Energy,per_ticker,false
AMD,323.08,300.0,365.0,13.29,10.68,13.437845302782627,10.36519520606002,0.14784530278262764,-0.3148047939399792,13.29,10.68,4.896125730802613,0.8508284528546888,0.5816377097059771,0.8018130425919426,-32.9861594241016,-52.394175975323165,-57.661287345634136,-88.49674660428462,-148.68099496050556,-214.8886496535419,69.3,76.5,"(66.37186226479857, 72.080424857659)","(73.77374064289094, 79.02344115737463)",Tech,per_ticker,false
PFE,26.48,26.0,28.0,0.67,0.24,0.84673435797173,0.5437882579315846,0.17673435797172998,0.3037882579315846,0.67,0.24,0.2789273144261289,0.002054436884229879,0.024460515897503317,0.01974504597837867,-1.3322212599066456,-1.4811550051113154,-2.2192793588922406,-2.283385641161928,-6.376996491480751,-3.7757979961071317,63.6,77.5,"(60.571077260470396, 66.5248349087225)","(74.80942379750103, 79.98010448579343)",Healthcare,sector,false
JNJ,227.75,220.0,235.0,3.44,2.77,2.4585853655210936,3.2145818950195766,-0.9814146344789063,0.44458189501957657,3.44,2.77,2.108123208300478,0.3541284385533063,0.13095113677766798,0.15912903603907144,-5.236515770925495,-11.145128543773925,-12.059682903358976,-16.665570503303528,-58.687029510490675,-29.688234725604996,79.9,68.5,"(77.30388134679093, 82.26727849577289)","(65.5548006716873, 71.30360926434717)",Healthcare,per_ticker,false
INTC,65.17,60.0,75.0,3.28,2.62,3.498564957821362,2.963539896073142,0.21856495782136198,0.3435398960731417,3.28,2.62,2.593646572191984,2.2391642724031686,0.06476654661377317,0.050999514674921406,-2.0183280917754955,-0.4216343508798388,-4.955057293429412,-3.86303415697665,-14.477112903178929,-15.262748557520755,82.89999999999999,90.9,"(80.44158480970535, 85.10661448194513)","(88.957441593046, 92.52952956283559)",Tech,per_ticker,true
