date,n_obs,base_rmse_pct,refit_flagged
options-04-14-2026,958,8.019523637084674,false
options-04-15-2026,614,8.231582329034545,false
options-04-16-2026,651,8.754649325934832,false
options-04-17-2026,629,7.990061585921744,false
options-04-21-2026,657,8.323265655967067,false
options-04-22-2026,598,8.54320596551025,false
options-04-23-2026,421,22.83359444271051,true
options-04-24-2026,567,8.81838174883508,false
options-04-27-2026,431,14.392878632077718,true
options-04-28-2026,508,15.658470462330776,false
options-04-29-2026,531,8.946264277721411,false
options-05-01-2026,453,8.653652427987812,false
options-05-06-2026,572,12.675497106841696,false
options-05-08-2026,365,12.896602060237264,false
options-05-11-2026,576,9.697675451948196,false
