period,ticker,session,spot
training,GS,2014-01-03,178.15
training,GS,2014-01-06,179.37
training,GS,2014-01-07,178.29
training,GS,2014-01-08,178.44
training,GS,2014-01-09,177.4
training,GS,2014-01-10,178.39
training,GS,2014-01-13,175.88
training,GS,2014-01-14,176.6
training,GS,2014-01-15,178.75
training,GS,2014-01-16,175.17
training,GS,2014-01-17,176.28
training,GS,2014-01-21,173.2
training,GS,2014-01-22,173.68
training,GS,2014-01-23,170.75
training,GS,2014-01-24,167.64
training,GS,2014-01-27,164.69
training,GS,2014-01-28,166.25
training,GS,2014-01-29,163.9
training,GS,2014-01-30,165.84
training,GS,2014-01-31,164.12
training,GS,2014-02-03,159.82
training,GS,2014-02-04,161.76
training,GS,2014-02-05,160.42
training,GS,2014-02-06,161.75
training,GS,2014-02-07,161.93
training,GS,2014-02-10,161.0
training,GS,2014-02-11,164.39
training,GS,2014-02-12,163.5
training,GS,2014-02-13,164.06
training,GS,2014-02-14,163.72
training,GS,2014-02-18,164.65
training,GS,2014-02-19,163.26
training,GS,2014-02-20,164.5
training,GS,2014-02-21,164.5
training,GS,2014-02-24,166.54
training,GS,2014-02-25,163.48
training,GS,2014-02-26,162.8
training,GS,2014-02-27,165.38
training,GS,2014-02-28,166.45
training,GS,2014-03-03,164.74
training,GS,2014-03-04,168.73
training,GS,2014-03-05,171.9
training,GS,2014-03-06,172.6
training,GS,2014-03-07,174.26
training,GS,2014-03-10,173.51
training,GS,2014-03-11,169.89
training,GS,2014-03-12,169.72
training,GS,2014-03-13,166.7
training,GS,2014-03-14,165.35
training,GS,2014-03-17,166.84
training,GS,2014-03-18,168.09
training,GS,2014-03-19,168.18
training,GS,2014-03-20,169.22
training,GS,2014-03-21,166.95
training,GS,2014-03-24,165.72
training,GS,2014-03-25,163.25
training,GS,2014-03-26,161.73
training,GS,2014-03-27,162.29
training,GS,2014-03-28,162.3
training,GS,2014-03-31,163.85
training,GS,2014-04-01,165.92
training,GS,2014-04-02,167.27
training,GS,2014-04-03,166.09
training,GS,2014-04-04,163.24
training,GS,2014-04-07,158.56
training,GS,2014-04-08,156.56
training,GS,2014-04-09,158.16
training,GS,2014-04-10,155.98
