period,ticker,origin,horizon,method,theoretical_mean,simulated_mean,mean_difference
2025,GS,2025-01-02,1,Adaptive volatility,575.0673352547155,575.0161055653052,-0.051229689410320134
2025,GS,2025-01-02,5,Adaptive volatility,575.456841077929,575.2453741313624,-0.21146694656658838
2025,GS,2025-01-02,1,Directional,575.0673352547155,575.0161055653052,-0.051229689410320134
2025,GS,2025-01-02,5,Directional,575.456841077929,575.2453741313624,-0.21146694656658838
2026,GS,2026-08-04,1,Adaptive volatility,1053.463908773443,1053.243624156565,-0.2202846168781889
2026,GS,2026-08-04,5,Adaptive volatility,1054.800602904804,1055.4965122951373,0.6959093903333269
2026,GS,2026-08-04,1,Directional,1053.463908773443,1053.243624156565,-0.2202846168781889
2026,GS,2026-08-04,5,Directional,1054.800602904804,1055.4965122951373,0.6959093903333269
2025,LLY,2025-01-02,1,Adaptive volatility,778.2038786743944,778.2435813015824,0.03970262718792128
2025,LLY,2025-01-02,5,Adaptive volatility,778.7396237700566,778.7696368677448,0.030013097688197377
2025,LLY,2025-01-02,1,Directional,778.2038786743944,778.2435813015824,0.03970262718792128
2025,LLY,2025-01-02,5,Directional,778.7396237700566,778.7696368677448,0.030013097688197377
2026,LLY,2026-08-04,1,Adaptive volatility,1117.699345834683,1117.7661732135257,0.06682737884261769
2026,LLY,2026-08-04,5,Adaptive volatility,1118.6171999718104,1118.8895213499472,0.27232137813689405
2026,LLY,2026-08-04,1,Directional,1117.699345834683,1117.7661732135257,0.06682737884261769
2026,LLY,2026-08-04,5,Directional,1118.6171999718104,1118.8895213499472,0.27232137813689405
