period,ticker,origin,endpoint,horizon,method,crps,median_absolute_error,squared_error
2025,GS,2025-01-02,2025-01-03,1,Adaptive volatility,3.4952894835555504,5.255345402137323,26.288894404207593
2025,GS,2025-01-02,2025-01-03,1,Directional,3.4952894835555504,5.255345402137323,26.288894404207593
2025,GS,2025-01-02,2025-01-03,1,JumpHMM,3.0823418353699013,4.99904108420795,23.68720519271736
2025,GS,2025-01-02,2025-01-03,1,Unchanged,5.159999999999966,5.159999999999968,26.625599999997323
2025,GS,2025-01-02,2025-01-10,5,Adaptive volatility,9.061479142543305,14.588972220105157,233.6645813362678
2025,GS,2025-01-02,2025-01-10,5,Directional,9.061479142543305,14.588972220105157,233.6645813362678
2025,GS,2025-01-02,2025-01-10,5,JumpHMM,9.874020213858083,16.451809599826447,265.28372913322636
2025,GS,2025-01-02,2025-01-10,5,Unchanged,14.97000000000002,14.970000000000027,224.1009000000076
2025,GS,2025-01-03,2025-01-06,1,Adaptive volatility,2.8719354601998703,3.301940826794786,9.920184543930446
2025,GS,2025-01-03,2025-01-06,1,Directional,2.8719354601998703,3.301940826794786,9.920184543930446
2025,GS,2025-01-03,2025-01-06,1,JumpHMM,2.338318560119983,3.1156771861169923,9.141779057974196
2025,GS,2025-01-03,2025-01-06,1,Unchanged,3.259999999999993,3.259999999999991,10.627600000002165
2025,GS,2025-01-03,2025-01-13,5,Adaptive volatility,10.246114532015538,16.818608434084656,309.2390878123804
2025,GS,2025-01-03,2025-01-13,5,Directional,10.246114532015538,16.818608434084656,309.2390878123804
2025,GS,2025-01-03,2025-01-13,5,JumpHMM,11.127415361097654,18.40688088167019,340.3436550850936
2025,GS,2025-01-03,2025-01-13,5,Unchanged,17.179999999999932,17.17999999999995,295.1523999999866
2025,GS,2025-01-06,2025-01-07,1,Adaptive volatility,2.8617693020492787,3.273098860442095,11.060952491760467
2025,GS,2025-01-06,2025-01-07,1,Directional,2.8617693020492787,3.273098860442095,11.060952491760467
