period,ticker,horizon,method,replicate,n_dates,median_mae,mean_mae,mse,crps,coverage,width,bias,median_mae_pct,crps_pct,width_pct,rmse
2025,GS,1,Adaptive volatility,1,249,9.139169306753528,9.12004475179274,150.871798837624,6.751109855581982,0.9357429718875502,42.46639059532861,-1.0955999556338873,1.3838977138186415,1.0283941875651672,6.393764198655591,12.282988188450886
2025,GS,1,Adaptive volatility,2,249,9.118278555511614,9.106739343720557,150.54889552975345,6.741573131033361,0.9357429718875502,42.44517960420014,-1.0853563142070461,1.3809294066452047,1.0270013030085157,6.39003414960321,12.269836817568253
2025,GS,1,Adaptive volatility,3,249,9.13241201446129,9.11019756062446,150.51729279044028,6.737615450530884,0.9317269076305221,42.40682377590503,-1.1039794363379303,1.3829756538997335,1.0262657293021593,6.384824814540405,12.268548927662158
2025,GS,1,Directional,1,249,9.139169306753528,9.12004475179274,150.871798837624,6.751109855581982,0.9357429718875502,42.46639059532861,-1.0955999556338873,1.3838977138186415,1.0283941875651672,6.393764198655591,12.282988188450886
2025,GS,1,Directional,2,249,9.118278555511614,9.106739343720557,150.54889552975345,6.741573131033361,0.9357429718875502,42.44517960420014,-1.0853563142070461,1.3809294066452047,1.0270013030085157,6.39003414960321,12.269836817568253
2025,GS,1,Directional,3,249,9.13241201446129,9.11019756062446,150.51729279044028,6.737615450530884,0.9317269076305221,42.40682377590503,-1.1039794363379303,1.3829756538997335,1.0262657293021593,6.384824814540405,12.268548927662158
2025,GS,1,JumpHMM,1,249,9.100351937694755,9.07840298088338,150.05661297015075,6.660816890404322,0.8795180722891566,34.700355843484175,-0.8611425243887463,1.3784720694181114,1.0155416882725132,5.058651132440634,12.249759710710686
2025,GS,1,JumpHMM,2,249,9.102057606474133,9.091422470992303,150.41550652206442,6.665040136117306,0.8755020080321285,34.64934418783359,-0.8690376492362646,1.378300915294761,1.0158313795664125,5.051434062789358,12.264399965838704
2025,GS,1,JumpHMM,3,249,9.097095312354929,9.094628192912502,150.16565599666,6.66109950116827,0.8795180722891566,34.645008826205974,-0.8691718869078158,1.3777408369304387,1.0154842823997372,5.050346798795892,12.254209725504946
2025,GS,1,Unchanged,1,249,9.133212851405625,9.133212851405693,150.86364056224969,9.133212851405625,0.0,0.0,-1.2210040160643192,1.3831897692042503,1.38318976920425,0.0,12.282656087436857
