penalty,ticker,year,horizon,n,loss
0.01,GS,2019,1,251,0.8911900393798876
0.01,GS,2019,5,247,0.9079314326309349
0.01,GS,2020,1,252,1.246678791082484
0.01,GS,2020,5,248,1.4145403838047883
0.01,GS,2021,1,251,0.972818753409526
0.01,GS,2021,5,247,0.9958253682622799
0.01,GS,2022,1,250,1.0334217697048242
0.01,GS,2022,5,246,1.3454060281805955
0.01,GS,2023,1,249,1.062638144921054
0.01,GS,2023,5,245,1.3922448282049864
0.01,GS,2024,1,251,1.2194195782617403
0.01,GS,2024,5,247,1.0803618256190874
0.01,LLY,2019,1,251,0.9348660415562915
0.01,LLY,2019,5,247,0.8680244935594138
0.01,LLY,2020,1,252,1.37234570086419
0.01,LLY,2020,5,248,1.1779213190327331
0.01,LLY,2021,1,251,1.193943222027039
0.01,LLY,2021,5,247,1.3004223979196115
0.01,LLY,2022,1,250,0.9545791920799149
0.01,LLY,2022,5,246,0.9218782714408039
0.01,LLY,2023,1,249,1.3354513451592482
0.01,LLY,2023,5,245,1.544364951552946
0.01,LLY,2024,1,251,1.107532146543571
0.01,LLY,2024,5,247,1.242741234446221
0.1,GS,2019,1,251,0.88749253616976
0.1,GS,2019,5,247,0.8918943097163737
0.1,GS,2020,1,252,1.244367531556723
0.1,GS,2020,5,248,1.407560322992281
0.1,GS,2021,1,251,0.9716873364042371
0.1,GS,2021,5,247,0.9864578213228736
0.1,GS,2022,1,250,1.0302946692399322
0.1,GS,2022,5,246,1.3337712833027924
0.1,GS,2023,1,249,1.0624461259239673
0.1,GS,2023,5,245,1.388133555486906
0.1,GS,2024,1,251,1.2190036688005241
0.1,GS,2024,5,247,1.0786900589974018
0.1,LLY,2019,1,251,0.9347952242686516
0.1,LLY,2019,5,247,0.8674099831280406
0.1,LLY,2020,1,252,1.3725186169439694
0.1,LLY,2020,5,248,1.177642981921481
0.1,LLY,2021,1,251,1.1940481374464527
0.1,LLY,2021,5,247,1.2998298105794113
0.1,LLY,2022,1,250,0.9544247415307126
0.1,LLY,2022,5,246,0.921089562290141
0.1,LLY,2023,1,249,1.3356109106432112
0.1,LLY,2023,5,245,1.5438501486729583
0.1,LLY,2024,1,251,1.1063323898037307
0.1,LLY,2024,5,247,1.24305570819502
1.0,GS,2019,1,251,0.8800948992325582
1.0,GS,2019,5,247,0.8590572052741215
1.0,GS,2020,1,252,1.2383223206750726
1.0,GS,2020,5,248,1.3960689776586868
1.0,GS,2021,1,251,0.9686347852614506
1.0,GS,2021,5,247,0.9724179047447424
1.0,GS,2022,1,250,1.0244838235360485
1.0,GS,2022,5,246,1.3129420927189692
1.0,GS,2023,1,249,1.0620739817951055
1.0,GS,2023,5,245,1.3752170112261288
1.0,GS,2024,1,251,1.2184091385630658
1.0,GS,2024,5,247,1.0744723085850676
1.0,LLY,2019,1,251,0.9344543458497842
1.0,LLY,2019,5,247,0.8651815091725291
1.0,LLY,2020,1,252,1.3736391083280506
1.0,LLY,2020,5,248,1.178699573478552
1.0,LLY,2021,1,251,1.194303319441934
1.0,LLY,2021,5,247,1.2959262646450016
1.0,LLY,2022,1,250,0.9538677572705065
1.0,LLY,2022,5,246,0.9186645372365502
1.0,LLY,2023,1,249,1.3363283242151207
1.0,LLY,2023,5,245,1.544062641494142
1.0,LLY,2024,1,251,1.101611292935866
1.0,LLY,2024,5,247,1.2444565588906182
10.0,GS,2019,1,251,0.8773742575066106
