experiment,ticker,cutoff,value
"Option MAE, 2026",GS,10,4.193743226603097
"Option MAE, 2026",GS,20,4.200235500568032
"Option MAE, 2026",LLY,10,11.587738551743122
"Option MAE, 2026",LLY,20,11.587746768154384
"Stock CRPS, 2025",GS,10,16.221054479789085
"Stock CRPS, 2025",GS,20,16.221403433149987
"Stock CRPS, 2025",LLY,10,29.604369581015447
"Stock CRPS, 2025",LLY,20,29.603983440135664
"Stock CRPS, 2026",GS,10,13.025557832516938
"Stock CRPS, 2026",GS,20,13.02523830017268
"Stock CRPS, 2026",LLY,10,35.60243381179679
"Stock CRPS, 2026",LLY,20,35.601073630007015
