experiment,ticker,cutoff,mean_pnl,q05_pnl,es05_pnl
Ten-session ablation,GS,10,0.1939973859769748,-35.193701876289886,-69.81739905078422
Ten-session ablation,GS,20,0.1905020979837973,-35.20327389704108,-69.82835494837369
Ten-session ablation,LLY,10,6.25969768116113,-20.278539366339576,-45.18161920229533
Ten-session ablation,LLY,20,6.263187323174622,-20.27313784156868,-45.173803515139966
Terminal illustration,GS,10,-2.193973208443398,-86.18312005143225,-130.77024962455224
Terminal illustration,GS,20,-2.2125174817832227,-86.24304471805462,-130.83266608294355
Terminal illustration,LLY,10,10.605197769484633,-51.95623767393039,-94.17637329704807
Terminal illustration,LLY,20,10.595107923366196,-52.006146877878464,-94.22836321549556
