ticker,origin,day,horizon,method,mean,median,lo,hi,observed
GS,2026-08-04,2026-08-05,1,legacy_stationary,1053.5263668282448,1053.5031189867038,1027.6684715897345,1079.8703515653542,1060.53
GS,2026-08-04,2026-08-06,2,legacy_stationary,1054.0143767614757,1053.9017350026088,1015.2157089053405,1092.238130572713,1032.09
GS,2026-08-04,2026-08-07,3,legacy_stationary,1054.6796219501068,1054.6942657367126,1004.777282304782,1102.9487348993819,1040.0
GS,2026-08-04,2026-08-10,4,legacy_stationary,1055.3241527015728,1055.349189939101,995.2697898077291,1112.386630103901,1033.87
GS,2026-08-04,2026-08-11,5,legacy_stationary,1055.748033961312,1055.8437432299806,988.2137761417412,1119.5964466334183,1033.87
GS,2026-08-04,2026-08-05,1,stationary_transition,1053.7837727980827,1053.5630256087265,1027.8849067636427,1080.2596003135966,1060.53
GS,2026-08-04,2026-08-06,2,stationary_transition,1054.0913979360573,1054.21525128974,1015.0468615939991,1092.7739308289556,1032.09
GS,2026-08-04,2026-08-07,3,stationary_transition,1054.90789956842,1055.0067682901258,1005.296812224855,1102.4501371047916,1040.0
GS,2026-08-04,2026-08-10,4,stationary_transition,1055.4105464554477,1055.7747127749683,997.199122604936,1110.7058841983992,1033.87
GS,2026-08-04,2026-08-11,5,stationary_transition,1055.5677590700163,1055.7339622408372,990.418778415836,1119.6736079051234,1033.87
GS,2026-08-04,2026-08-05,1,filtered_state,1053.7990253870694,1053.4966906575212,1027.8106656387126,1080.3741053341432,1060.53
GS,2026-08-04,2026-08-06,2,filtered_state,1054.100146273819,1054.1227220347732,1015.1572130587455,1092.738403517105,1032.09
GS,2026-08-04,2026-08-07,3,filtered_state,1054.9214110402736,1055.1153579316551,1005.93522225038,1102.3370772270691,1040.0
GS,2026-08-04,2026-08-10,4,filtered_state,1055.4466499285038,1055.912151879616,997.060709184198,1110.8118783154407,1033.87
GS,2026-08-04,2026-08-11,5,filtered_state,1055.5848509589014,1055.750476485513,990.0089805215603,1119.6736079051234,1033.87
GS,2026-08-04,2026-08-05,1,filtered_state_vol20,1054.2318272961058,1053.4558710314197,1007.7808286496478,1102.2074484751645,1060.53
GS,2026-08-04,2026-08-06,2,filtered_state_vol20,1054.686120629745,1054.247327317752,985.2995797863588,1124.6069016791241,1032.09
GS,2026-08-04,2026-08-07,3,filtered_state_vol20,1056.060453313463,1055.6973023731377,968.9786114381848,1142.047435753484,1040.0
GS,2026-08-04,2026-08-10,4,filtered_state_vol20,1056.9084288312695,1056.7955933604821,953.3807351662099,1157.4967080678548,1033.87
