ticker,horizon,method,mean_crps_change,median_crps_change,better_dates,n_dates
GS,1,filtered_state,0.4458248197962249,0.16940820318452054,7,21
GS,1,filtered_state_vol20,1.043160223144815,0.7050434461792872,4,21
GS,1,legacy_stationary,0.0,0.0,0,21
GS,1,rw_fixed,0.17275932834822447,0.6197542232766908,7,21
GS,1,rw_vol20,1.1527658010750936,0.8980938381246908,5,21
GS,1,stationary_transition,0.013736683379390728,0.007737578984903237,8,21
GS,1,unchanged,2.605982246672255,2.2606735568545346,7,21
GS,5,filtered_state,0.2205144497465536,-0.2180117407620159,9,17
GS,5,filtered_state_vol20,2.6432550751412767,2.57272847811457,1,17
GS,5,legacy_stationary,0.0,0.0,0,17
GS,5,rw_fixed,0.6236820704548112,1.3129512961892367,4,17
GS,5,rw_vol20,3.7657071348865334,2.7369155539615484,2,17
GS,5,stationary_transition,0.018458013939424693,0.011239871350008812,6,17
GS,5,unchanged,2.5154940838988926,2.9259521787878917,7,17
LLY,1,filtered_state,-0.11063405152543987,-0.14067890867181898,12,21
LLY,1,filtered_state_vol20,-0.13277001470595665,-0.008126116625843949,11,21
LLY,1,legacy_stationary,0.0,0.0,0,21
LLY,1,rw_fixed,-0.2711817825366064,-0.2824173720827492,12,21
LLY,1,rw_vol20,-0.08268799119428345,0.6994510591478917,8,21
LLY,1,stationary_transition,-0.03572741739548277,-0.011829039046785006,12,21
LLY,1,unchanged,4.273653638322023,4.97171401781077,4,21
LLY,5,filtered_state,-0.3338072267976936,-0.04986602196602519,10,17
LLY,5,filtered_state_vol20,-1.3531304947002405,-1.8904318595085101,9,17
LLY,5,legacy_stationary,0.0,0.0,0,17
LLY,5,rw_fixed,-1.0070204060037804,-0.5768491112048224,11,17
LLY,5,rw_vol20,-1.6912046792088886,-2.2199052182444206,10,17
LLY,5,stationary_transition,-0.01295853533043283,0.008340594664980827,8,17
LLY,5,unchanged,13.678778983111748,19.094648144578848,2,17
