ticker,kind,bin,n,return_min,return_max,return_median,pnl_q25,pnl_median,pnl_q75
GS,put,1,300,-30.409403288655014,-6.658688082477571,-9.059704585146566,-2.311533494368117,-2.007224248149143,-1.6248563182525917
GS,put,2,300,-6.64258991606853,-3.909358233067406,-4.8825672680085255,-2.0879292122688247,-1.700413257690073,-1.2587578099671894
GS,put,3,300,-3.8974857180089195,-2.3201404216246946,-3.0817556680116764,-1.5292822161242334,-1.0600604931592983,-0.6891147020285127
GS,put,4,300,-2.314792389553111,-1.0627186671699262,-1.627431461640838,-1.0100668464425842,-0.6259345126833313,-0.2229733924945405
GS,put,5,300,-1.0606306876635108,0.1520598549799912,-0.44033554629033245,-0.6262956633549412,-0.20175810401660854,0.12115815584667544
GS,put,6,300,0.17152712176320417,1.449451293118309,0.7656709145079987,-0.29177293977007945,0.04953122421332701,0.3709550191601445
GS,put,7,300,1.4559707480256145,2.840771914623974,2.102045989625523,0.010125125447750793,0.3253232494037439,0.6487460323600338
GS,put,8,300,2.850090058213217,4.505066325552454,3.6675547667248343,0.2244650549089109,0.47069418902279514,0.7744770676729058
GS,put,9,300,4.515010207708703,6.9546197117773545,5.603161588546146,0.30936521014796203,0.56007017332662,0.8183178559357951
GS,put,10,300,6.956896949905933,29.39691614462181,9.337661892285976,0.1440826067438275,0.3182347326722012,0.5947855648148209
GS,call,1,300,-30.409403288655014,-6.658688082477571,-9.059704585146566,-0.47444633923935714,-0.3574827222101955,-0.22963283024694964
GS,call,2,300,-6.64258991606853,-3.909358233067406,-4.8825672680085255,-0.6458458936130216,-0.5686525829911638,-0.48762308536469334
GS,call,3,300,-3.8974857180089195,-2.3201404216246946,-3.0817556680116764,-0.7180856649452385,-0.5657037793562665,-0.39467865056019213
GS,call,4,300,-2.314792389553111,-1.0627186671699262,-1.627431461640838,-0.6703915248870939,-0.4412128538155593,-0.16733797967043484
GS,call,5,300,-1.0606306876635108,0.1520598549799912,-0.44033554629033245,-0.5296018156419444,-0.1829339413052251,0.10796711052327135
GS,call,6,300,0.17152712176320417,1.449451293118309,0.7656709145079987,-0.3479903142439562,0.05911377702263643,0.4388987924348884
GS,call,7,300,1.4559707480256145,2.840771914623974,2.102045989625523,0.009478693713995678,0.4619616802331379,0.9528334308658102
GS,call,8,300,2.850090058213217,4.505066325552454,3.6675547667248343,0.5043878193312707,1.0123682906796443,1.512965301431671
GS,call,9,300,4.515010207708703,6.9546197117773545,5.603161588546146,1.0879538633687673,1.6574434609097963,2.2170399493595303
GS,call,10,300,6.956896949905933,29.39691614462181,9.337661892285976,1.2401229837966774,1.9654717865378508,2.554756095775078
LLY,put,1,300,-22.0594217371332,-6.053900632490949,-8.037811951188123,-2.8481259041382465,-2.501999788385792,-2.0697073803709873
LLY,put,2,300,-6.053382554256681,-3.924377409990709,-4.755208259515509,-1.957116961667051,-1.5767830275923327,-1.1490333773211798
LLY,put,3,300,-3.9156313147412747,-2.369431898428964,-3.096272634039754,-1.3737803050222128,-1.0236739533386903,-0.6744908064612396
LLY,put,4,300,-2.367461961507855,-1.141356729104459,-1.7566535491773727,-0.913621604281778,-0.5537800050834196,-0.23505208017341062
LLY,put,5,300,-1.14116741760526,0.018506317643196546,-0.537114794262078,-0.6172700423512971,-0.25339247273678733,0.0748864268000915
LLY,put,6,300,0.01984432861907859,1.2644672936749535,0.662108198750988,-0.27087104815817487,0.049208508820654195,0.45328778943980597
LLY,put,7,300,1.2713732343357709,2.5382094425292934,1.9122572528465942,-0.009434400203607307,0.2770720311425059,0.5914042054499915
LLY,put,8,300,2.560778601163549,4.0354664896031345,3.2278496848448524,0.2071999555139239,0.4951899845370944,0.7838114910570246
LLY,put,9,300,4.038445128464052,6.848633411058169,5.219261013225218,0.44594490926669705,0.6936655102169196,0.9627260731227684
LLY,put,10,300,6.863240437060747,28.035993735894273,9.335509462231927,0.44202622639470945,0.6635248569047183,0.9141959065630432
LLY,call,1,300,-22.0594217371332,-6.053900632490949,-8.037811951188123,-0.7438327334462368,-0.6564469576532248,-0.5460359661269909
LLY,call,2,300,-6.053382554256681,-3.924377409990709,-4.755208259515509,-0.8254176939413829,-0.7197406584930646,-0.5621565949689533
LLY,call,3,300,-3.9156313147412747,-2.369431898428964,-3.096272634039754,-0.7975900891925238,-0.6063058304964719,-0.4238870077998409
LLY,call,4,300,-2.367461961507855,-1.141356729104459,-1.7566535491773727,-0.638064379496617,-0.4187893583145983,-0.17148597663973497
LLY,call,5,300,-1.14116741760526,0.018506317643196546,-0.537114794262078,-0.5185253888653945,-0.22577287411072788,0.06691784082313657
LLY,call,6,300,0.01984432861907859,1.2644672936749535,0.662108198750988,-0.28376172675527966,0.05195820613131108,0.4859140198887446
LLY,call,7,300,1.2713732343357709,2.5382094425292934,1.9122572528465942,-0.008620152002524417,0.33857663611889244,0.7393077801447272
LLY,call,8,300,2.560778601163549,4.0354664896031345,3.2278496848448524,0.3523687097339243,0.7758708338047349,1.162230429265037
LLY,call,9,300,4.038445128464052,6.848633411058169,5.219261013225218,1.0038298714050313,1.5462542872489724,1.979013639593024
LLY,call,10,300,6.863240437060747,28.035993735894273,9.335509462231927,2.257888663008046,2.8271186362184935,3.475464796038823
