ticker,S_0,K_put,K_call,market_mid_put,market_mid_call,model_fv_put,model_fv_call,entry_edge_put,entry_edge_call,median_pnl_put,median_pnl_call,mean_pnl_put,mean_pnl_call,mean_se_put,mean_se_call,q05_pnl_put,q05_pnl_call,es05_pnl_put,es05_pnl_call,worst_loss_put,worst_loss_call,pct_premium_kept_put,pct_premium_kept_call,pct_premium_kept_ci_put,pct_premium_kept_ci_call
GS,926.38,890.0,970.0,16.51,16.085,17.258588034303084,16.065569747547535,0.7485880343030828,-0.01943025245246588,16.51,16.085,4.265182957607257,-2.2125174817832227,0.8909758654290092,1.2299381213091223,-58.91752424847262,-86.24304471805462,-92.95723971350805,-130.83266608294355,-176.52491509845152,-299.8091201087503,74.0,67.60000000000001,"(71.19317744345645, 76.62313814923691)","(64.63678032852955, 70.42851777277892)"
LLY,873.83,825.0,940.0,23.3,20.76,21.954517920630803,18.95619312603638,-1.345482079369198,-1.803806873963623,23.3,20.76,16.35646198734204,10.595107923366195,0.6301960492160433,0.9067327907542199,-27.960983547560527,-52.006146877878464,-57.1587591632222,-94.22836321549556,-152.54512393379576,-240.3323111226539,80.7,79.3,"(78.1383383844143, 83.02669864457263)","(76.67904475082261, 81.69670720192386)"
