ticker,seed,mode,kind,floor_fraction,outside_moneyness_fraction
GS,20260429,frozen,put,0.0,0.006545454545454545
GS,20260429,frozen,call,0.0,0.019045454545454546
GS,20260429,surface,put,0.0,0.006545454545454545
GS,20260429,surface,call,0.0,0.019045454545454546
GS,20260429,relaxation,put,0.0,0.006545454545454545
GS,20260429,relaxation,call,0.0,0.019045454545454546
GS,20260429,uncoupled,put,0.0,0.006545454545454545
GS,20260429,uncoupled,call,0.0,0.019045454545454546
GS,20260429,coupled,put,0.0,0.006545454545454545
GS,20260429,coupled,call,0.0,0.019045454545454546
GS,20260430,frozen,put,0.0,0.007454545454545454
GS,20260430,frozen,call,0.0,0.02081818181818182
GS,20260430,surface,put,0.0,0.007454545454545454
GS,20260430,surface,call,0.0,0.02081818181818182
GS,20260430,relaxation,put,0.0,0.007454545454545454
GS,20260430,relaxation,call,0.0,0.02081818181818182
GS,20260430,uncoupled,put,0.0,0.007454545454545454
GS,20260430,uncoupled,call,0.0,0.02081818181818182
GS,20260430,coupled,put,0.0,0.007454545454545454
GS,20260430,coupled,call,0.0,0.02081818181818182
GS,20260431,frozen,put,0.0,0.008363636363636363
GS,20260431,frozen,call,0.0,0.01868181818181818
GS,20260431,surface,put,0.0,0.008363636363636363
GS,20260431,surface,call,0.0,0.01868181818181818
GS,20260431,relaxation,put,0.0,0.008363636363636363
GS,20260431,relaxation,call,0.0,0.01868181818181818
GS,20260431,uncoupled,put,0.0,0.008363636363636363
GS,20260431,uncoupled,call,0.0,0.01868181818181818
GS,20260431,coupled,put,0.0,0.008363636363636363
GS,20260431,coupled,call,0.0,0.01868181818181818
LLY,20260429,frozen,put,0.0,0.007954545454545454
LLY,20260429,frozen,call,0.0,0.02590909090909091
LLY,20260429,surface,put,0.0,0.007954545454545454
LLY,20260429,surface,call,0.0,0.02590909090909091
LLY,20260429,relaxation,put,0.0,0.007954545454545454
LLY,20260429,relaxation,call,0.0,0.02590909090909091
LLY,20260429,uncoupled,put,0.0,0.007954545454545454
LLY,20260429,uncoupled,call,0.0,0.02590909090909091
LLY,20260429,coupled,put,0.0,0.007954545454545454
LLY,20260429,coupled,call,0.0,0.02590909090909091
LLY,20260430,frozen,put,0.0,0.008181818181818182
LLY,20260430,frozen,call,0.0,0.028772727272727273
LLY,20260430,surface,put,0.0,0.008181818181818182
LLY,20260430,surface,call,0.0,0.028772727272727273
LLY,20260430,relaxation,put,0.0,0.008181818181818182
LLY,20260430,relaxation,call,0.0,0.028772727272727273
LLY,20260430,uncoupled,put,0.0,0.008181818181818182
LLY,20260430,uncoupled,call,0.0,0.028772727272727273
LLY,20260430,coupled,put,0.0,0.008181818181818182
LLY,20260430,coupled,call,0.0,0.028772727272727273
LLY,20260431,frozen,put,0.0,0.007363636363636364
LLY,20260431,frozen,call,0.0,0.025545454545454545
LLY,20260431,surface,put,0.0,0.007363636363636364
LLY,20260431,surface,call,0.0,0.025545454545454545
LLY,20260431,relaxation,put,0.0,0.007363636363636364
LLY,20260431,relaxation,call,0.0,0.025545454545454545
LLY,20260431,uncoupled,put,0.0,0.007363636363636364
LLY,20260431,uncoupled,call,0.0,0.025545454545454545
LLY,20260431,coupled,put,0.0,0.007363636363636364
LLY,20260431,coupled,call,0.0,0.025545454545454545
