ticker,kind,mode,step,date,seed,n,mean_pnl,sd_pnl,q05_pnl,es05_pnl,mean_pnl_change,paired_se,mean_abs_mark_change,q95_abs_mark_change
GS,put,frozen,0,2026-04-28,0,3000,-0.7485880343030831,2.2208162161361474e-16,-0.7485880343030828,-0.7485880343030831,0.0,0.0,0.0,0.0
GS,put,frozen,0,2026-04-28,20260429,1000,-0.7485880343030831,2.221557105636704e-16,-0.7485880343030828,-0.7485880343030831,0.0,0.0,0.0,0.0
GS,put,frozen,0,2026-04-28,20260430,1000,-0.7485880343030831,2.221557105636704e-16,-0.7485880343030828,-0.7485880343030831,0.0,0.0,0.0,0.0
GS,put,frozen,0,2026-04-28,20260431,1000,-0.7485880343030831,2.221557105636704e-16,-0.7485880343030828,-0.7485880343030831,0.0,0.0,0.0,0.0
GS,put,frozen,5,2026-05-05,0,3000,0.1314845999196138,12.795198330613484,-21.832691379140154,-40.22376023779136,0.10235622506135023,0.010359642506563314,0.4403320060845295,1.2807039926988848
GS,put,frozen,5,2026-05-05,20260429,1000,-0.2965036784535527,13.400662277061675,-23.16861468867356,-43.85260699764123,0.0884596721935531,0.018425008935028207,0.4494244646881731,1.3104746651848522
GS,put,frozen,5,2026-05-05,20260430,1000,0.17638554125363543,12.853259798601066,-23.369023960633974,-39.66391891955271,0.10536220056422142,0.01861423805178178,0.4600329574676588,1.3213637484190914
GS,put,frozen,5,2026-05-05,20260431,1000,0.5145719369587582,12.09804727055577,-18.940022986467174,-36.54931743990281,0.11324680242627613,0.016740741476508576,0.41153859609775684,1.171634941288245
GS,put,frozen,10,2026-05-12,0,3000,0.6629493751162244,19.42761713279483,-36.99380788112691,-63.34115004165554,0.2851885610679718,0.010180915889309939,0.5090982522830461,1.2010250482971108
GS,put,frozen,10,2026-05-12,20260429,1000,0.018239794940686407,19.307271226489593,-40.63199462488441,-63.31837556289557,0.26858474837320395,0.018025972334339297,0.5070153746560164,1.2115330443073429
